Flight,Origin,Departure,aircraft,Destination,Arrival,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Period,Notes,
SKY703,HND,6:45,B737,CTS,8:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY705,HND,8:20,B737,CTS,9:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY711,HND,11:00,B737,CTS,12:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY713,HND,12:20,B737,CTS,14:00,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY717,HND,14:05,B737,CTS,15:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY719,HND,14:35,B737,CTS,16:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY723,HND,16:55,B737,CTS,18:35,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY727,HND,18:20,B737,CTS,20:00,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY729,HND,20:30,B737,CTS,22:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY101,HND,7:20,B737,UKB,8:35,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY103,HND,9:05,B737,UKB,10:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY105,HND,13:00,B737,UKB,14:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY109,HND,15:35,B737,UKB,16:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY113,HND,17:55,B737,UKB,19:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY117,HND,20:05,B737,UKB,21:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY001,HND,6:20,B737,FUK,8:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY003,HND,7:35,B738,FUK,9:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY007,HND,9:35,B737,FUK,11:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY009,HND,11:15,B737,FUK,13:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY011,HND,11:45,B737,FUK,13:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY013,HND,12:35,B738,FUK,14:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY015,HND,13:45,B737,FUK,15:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY019,HND,15:05,B737,FUK,17:00,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY021,HND,16:05,B737,FUK,18:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY023,HND,17:25,B738,FUK,19:25,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY025,HND,18:40,B737,FUK,20:35,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY027,HND,20:00,B737,FUK,21:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY301,HND,6:35,B737,KOJ,8:25,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY303,HND,8:40,B737,KOJ,10:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY307,HND,15:30,B737,KOJ,17:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY309,HND,18:50,B737,KOJ,20:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY511,HND,6:30,B737,OKA,9:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY513,HND,7:45,B737,OKA,10:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY517,HND,12:50,B737,OKA,15:35,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY519,HND,15:35,B737,OKA,18:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY521,HND,17:05,B737,OKA,19:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY523,HND,18:25,B737,OKA,21:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY613,HND,11:05,B737,SHI,14:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY706,CTS,8:15,B737,HND,9:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY710,CTS,10:40,B737,HND,12:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY712,CTS,11:40,B737,HND,13:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY714,CTS,13:15,B737,HND,14:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY716,CTS,14:40,B737,HND,16:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY718,CTS,15:05,B737,HND,16:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY720,CTS,16:15,B737,HND,17:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY726,CTS,19:10,B737,HND,20:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY730,CTS,21:00,B737,HND,22:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY790,CTS,8:55,B737,IBR,10:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY792,CTS,10:55,B737,IBR,12:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY794,CTS,17:45,B737,IBR,19:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY762,CTS,9:20,B737,NGO,11:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY766,CTS,19:20,B737,NGO,21:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY768,CTS,20:35,B737,NGO,22:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY170,CTS,9:50,B737,UKB,11:45,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY172,CTS,15:00,B737,UKB,16:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY174,CTS,16:45,B737,UKB,18:40,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY176,CTS,17:55,B737,UKB,19:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY178,CTS,20:35,B737,UKB,22:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY772,CTS,10:50,B737,FUK,13:25,N,N,Y,N,Y,N,N,6/1~10/24,���E���j���^�s,
SKY774,CTS,11:25,B737,FUK,14:00,Y,Y,N,Y,N,Y,Y,6/1~10/24,���E���j���^�x,
SKY153,SDJ,9:50,B737,UKB,11:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY157,SDJ,19:30,B737,UKB,20:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY791,IBR,8:50,B737,CTS,10:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY793,IBR,13:00,B737,CTS,14:25,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY795,IBR,18:40,B737,CTS,20:00,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY183,IBR,7:35,B737,UKB,8:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY185,IBR,14:10,B737,UKB,15:25,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY187,IBR,19:50,B737,UKB,21:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY831,IBR,10:00,B737,FUK,11:55,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY835,IBR,16:05,B737,FUK,18:00,Y,Y,Y,Y,Y,Y,Y,6/1~6/18,6/19�`10/24�^�x,
SKY531,IBR,11:00,B737,OKA,13:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY761,NGO,7:05,B737,CTS,8:45,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY765,NGO,15:25,B737,CTS,17:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY767,NGO,17:05,B737,CTS,18:45,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY635,NGO,6:30,B737,KOJ,7:50,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY637,NGO,11:45,B737,KOJ,13:05,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY551,NGO,6:05,B737,OKA,8:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY553,NGO,7:55,B737,OKA,10:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY555,NGO,12:40,B737,OKA,14:55,N,N,Y,N,Y,N,N,6/1~10/24,���E���j���^�s,
SKY557,NGO,13:55,B737,OKA,16:10,Y,Y,N,Y,N,Y,Y,6/1~10/24,���E���j���^�x,
SKY100,UKB,7:10,B737,HND,8:30,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY102,UKB,9:15,B737,HND,10:25,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY106,UKB,10:55,B737,HND,12:10,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY108,UKB,13:00,B737,HND,14:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY112,UKB,16:15,B737,HND,17:35,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY116,UKB,19:05,B737,HND,20:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY171,UKB,7:35,B737,CTS,9:15,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
SKY173,UKB,8:30,B737,CTS,10:20,Y,Y,Y,Y,Y,Y,Y,6/1~10/24,,
